"","GEOID","STATEFP","ELSDLEA","SCSDLEA","UNSDLEA","NAME","LSAD","LOGRADE","HIGRADE","MTFCC","SDTYP","FUNCSTAT","ALAND","AWATER","INTPTLAT","INTPTLON","GEO_YEAR","SCHOOLYEAR","total","American.Indian.or.Alaska.Native","Asian","Black.or.African.American","Hispanic.Latino","Native.Hawaiian.or.Other.Pacific.Islander","White","minority","percentW","percentM","student_all","textbk_exp","STABBR","textbk_exp_per_student"
"100","4106870","41",NA,NA,"06870","Joseph School District 6","00","KG","12","G5420",NA,"E",3475117564,12099512,"+45.4357264","-116.9015554","2019","2018-2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","4106900","41",NA,NA,"06900","Three Rivers School District","00","KG","12","G5420",NA,"E",4423622542,5623550,"+42.3491489","-123.5215715","2019","2018-2019",2584,42,14,18,296,4,2210,374,85.53,14.47,4837,244000,"OR",50
"102","4106930","41",NA,NA,"06930","Junction City School District 69","00","KG","12","G5420",NA,"E",422754775,1979034,"+44.2061790","-123.3070442","2019","2018-2019",1040,18,6,8,122,4,882,158,84.81,15.19,1681,46000,"OR",27
"104","4107020","41",NA,NA,"07020","Klamath County School District","00","KG","12","G5420",NA,"E",15203477079,502260489,"+42.6837613","-121.6461682","2019","2018-2019",4553,274,38,35,947,12,3247,1306,71.32,28.68,6639,649000,"OR",98
"105","4107080","41",NA,NA,"07080","Klamath Falls City Schools","00","KG","12","G5420",NA,"E",188162731,1426100,"+42.2640991","-121.8038001","2019","2018-2019",1585,135,12,4,387,4,1043,542,65.8,34.2,3013,41000,"OR",14
"106","4107200","41",NA,NA,"07200","La Grande School District 1","00","KG","12","G5420",NA,"E",2060618140,675506,"+45.2662958","-118.2891073","2019","2018-2019",1222,22,14,12,132,24,1018,204,83.31,16.69,2359,76000,"OR",32
"107","4107230","41",NA,NA,"07230","Lake Oswego School District 7J","00","KG","12","G5420",NA,"E",33479066,2266191,"+45.4123049","-122.6991542","2019","2018-2019",4472,8,476,36,330,6,3616,856,80.86,19.14,7078,187000,"OR",26
"108","4107280","41",NA,NA,"07280","Lakeview School District 7","00","KG","12","G5420",NA,"E",4627827649,259637865,"+42.3653864","-120.4003130","2019","2018-2019",456,12,0,0,92,0,352,104,77.19,22.81,750,11000,"OR",15
"109","4107380","41",NA,NA,"07380","Lebanon Community School District 9","00","KG","12","G5420",NA,"E",625021035,3151517,"+44.5322410","-122.8210443","2019","2018-2019",2250,46,32,16,260,12,1884,366,83.73,16.27,4274,316000,"OR",74
"110","4107500","41",NA,NA,"07500","Lincoln County School District","00","KG","12","G5420",NA,"E",2802922962,608909992,"+44.6066258","-123.9130127","2019","2018-2019",3181,169,32,24,775,4,2177,1004,68.44,31.56,5515,162000,"OR",29
"111","4107530","41",NA,NA,"07530","Long Creek School District 17","00","KG","12","G5420",NA,"E",2152066729,18184,"+44.7773512","-119.0063990","2019","2018-2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","4107590","41",NA,NA,"07590","Lowell School District 71","00","KG","12","G5420",NA,"E",809780271,27524704,"+43.9411012","-122.5839671","2019","2018-2019",396,12,4,6,39,0,335,61,84.6,15.4,937,46000,"OR",49
"113","4107710","41",NA,NA,"07710","Mapleton School District 32","00","KG","12","G5420",NA,"E",652501606,1456340,"+44.0789022","-123.8424478","2019","2018-2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","4107740","41",NA,NA,"07740","Marcola School District 79J","00","KG","12","G5420",NA,"E",302449509,0,"+44.2142994","-122.7868321","2019","2018-2019",280,8,4,0,24,0,244,36,87.14,12.86,278,36000,"OR",129
"115","4107880","41",NA,NA,"07880","McDermitt School District 51","00","KG","12","G5420",NA,"E",7185158478,282522,"+42.3071136","-117.6338573","2019","2018-2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","4107980","41",NA,NA,"07980","McKenzie School District 68","00","KG","12","G5420",NA,"E",1981925368,13743913,"+44.1224463","-122.1506889","2019","2018-2019",53,1,0,1,7,0,44,9,83.02,16.98,199,9000,"OR",45
"117","4108010","41",NA,NA,"08010","McMinnville School District 40","00","KG","12","G5420",NA,"E",305489237,127197,"+45.2119166","-123.2820914","2019","2018-2019",4324,74,60,52,1534,18,2586,1738,59.81,40.19,6767,258000,"OR",38
"118","4108040","41",NA,NA,"08040","Medford School District 549","00","KG","12","G5420",NA,"E",949436846,4246518,"+42.2053810","-122.9932690","2019","2018-2019",7147,38,115,96,2030,68,4800,2347,67.16,32.84,14299,1433000,"OR",100
"119","4108100","41",NA,NA,"08100","Santiam Canyon School District 129J","00","KG","12","G5420",NA,"E",2094408169,17531962,"+44.7133366","-122.1936128","2019","2018-2019",2391,40,32,31,307,5,1976,415,82.64,17.36,4296,17000,"OR",4
"120","4108160","41",NA,NA,"08160","Milton-Freewater School District 7","00","KG","12","G5420",NA,"E",927913310,47030,"+45.9380393","-118.2690376","2019","2018-2019",1046,2,10,8,598,2,426,620,40.73,59.27,1734,211000,"OR",122
"121","4108280","41",NA,NA,"08280","Mitchell School District 55","00","KG","12","G5420",NA,"E",1643398452,694283,"+44.5177771","-120.0161252","2019","2018-2019",304,6,5,10,59,0,224,80,73.68,26.32,353,13000,"OR",37
"122","4108310","41",NA,NA,"08310","Molalla River School District 35","00","KG","12","G5420",NA,"E",538132925,676827,"+45.0844293","-122.5192688","2019","2018-2019",1483,14,18,1,317,2,1131,352,76.26,23.74,2771,51000,"OR",18
"123","4108430","41",NA,NA,"08430","Monroe School District 1J","00","KG","12","G5420",NA,"E",339807258,1111210,"+44.3502692","-123.3924742","2019","2018-2019",228,0,0,2,58,0,168,60,73.68,26.32,438,73000,"OR",167
"124","4108460","41",NA,NA,"08460","Monument School District 8","00","KG","12","G5420",NA,"E",1398100106,53512,"+44.7604868","-119.4806565","2019","2018-2019",19,1,1,0,2,0,15,4,78.95,21.05,47,19000,"OR",404
"125","4108520","41",NA,NA,"08520","Morrow School District 1","00","KG","12","G5420",NA,"E",4267842380,44372276,"+45.3869477","-119.5259175","2019","2018-2019",1923,8,2,4,1087,3,819,1104,42.59,57.41,2265,90000,"OR",40
"126","4108550","41",NA,NA,"08550","Mount Angel School District 91","00","KG","12","G5420",NA,"E",34593525,88697,"+45.0653929","-122.7958424","2019","2018-2019",354,2,2,6,182,0,162,192,45.76,54.24,756,32000,"OR",42
"127","4108650","41",NA,NA,"08650","Neah-Kah-Nie School District 56","00","KG","12","G5420",NA,"E",1025276457,171603118,"+45.6788700","-123.7371662","2019","2018-2019",408,4,10,0,56,0,338,70,82.84,17.16,778,56000,"OR",72
"128","4108700","41",NA,NA,"08700","Nestucca Valley School District 101J","00","KG","12","G5420",NA,"E",965332543,223552896,"+45.2455382","-123.7604604","2019","2018-2019",426,8,2,4,100,0,312,114,73.24,26.76,476,72000,"OR",151
"129","4108720","41",NA,NA,"08720","Newberg School District 29J","00","KG","12","G5420",NA,"E",209110886,1876748,"+45.3207227","-122.9824492","2019","2018-2019",3056,20,78,30,648,4,2276,780,74.48,25.52,5075,4000,"OR",1
"130","4108820","41",NA,NA,"08820","North Bend School District 13","00","KG","12","G5420",NA,"E",468961120,128839595,"+43.5187797","-124.1486544","2019","2018-2019",2222,68,41,23,238,17,1835,387,82.58,17.42,4306,92000,"OR",21
"131","4108830","41",NA,NA,"08830","North Clackamas School District 12","00","KG","12","G5420",NA,"E",104166865,2146113,"+45.4263655","-122.5519442","2019","2018-2019",9528,48,973,204,1842,67,6394,3134,67.11,32.89,17261,87000,"OR",5
"132","4108880","41",NA,NA,"08880","North Marion School District 15","00","KG","12","G5420",NA,"E",113138664,602493,"+45.2164059","-122.8145496","2019","2018-2019",1212,10,14,4,584,2,598,614,49.34,50.66,1912,98000,"OR",51
"133","4108940","41",NA,NA,"08940","North Powder School District 8J","00","KG","12","G5420",NA,"E",622483333,1977657,"+45.0533247","-118.0396013","2019","2018-2019",90,1,0,0,16,0,73,17,81.11,18.89,282,22000,"OR",78
"134","4109000","41",NA,NA,"09000","Nyssa School District 26","00","KG","12","G5420",NA,"E",952471136,8752127,"+43.7777878","-117.2994213","2019","2018-2019",690,0,6,0,462,0,222,468,32.17,67.83,1196,135000,"OR",113
"135","4109120","41",NA,NA,"09120","Oakland School District 1","00","KG","12","G5420",NA,"E",698624514,4182662,"+43.4465982","-123.3919808","2019","2018-2019",398,18,2,0,22,0,356,42,89.45,10.55,632,72000,"OR",114
"136","4109150","41",NA,NA,"09150","Oakridge School District 76","00","KG","12","G5420",NA,"E",2175218537,41169424,"+43.7085078","-122.2768999","2019","2018-2019",490,14,4,16,38,2,416,74,84.9,15.1,551,12000,"OR",22
"137","4109270","41",NA,NA,"09270","Ontario School District 8","00","KG","12","G5420",NA,"E",319547455,4957736,"+44.0588435","-117.0140695","2019","2018-2019",1300,4,4,16,802,2,472,828,36.31,63.69,2375,156000,"OR",66
"138","4109330","41",NA,NA,"09330","Oregon City School District 62","00","KG","12","G5420",NA,"E",202138940,2773763,"+45.3314353","-122.5128817","2019","2018-2019",4185,27,78,36,616,20,3408,777,81.43,18.57,8055,259000,"OR",32
"139","4109430","41",NA,NA,"09430","Paisley School District 11","00","KG","12","G5420",NA,"E",3555355781,133284671,"+42.7897884","-120.7853255","2019","2018-2019",33,0,7,0,4,0,22,11,66.67,33.33,222,135000,"OR",608
"140","4109480","41",NA,NA,"09480","Parkrose School District 3","00","KG","12","G5420",NA,"E",29137707,5073618,"+45.5685716","-122.5620702","2019","2018-2019",1746,10,306,292,558,60,520,1226,29.78,70.22,3250,109000,"OR",34
"141","4109510","41",NA,NA,"09510","Pendleton School District 16","00","KG","12","G5420",NA,"E",1961190011,4583615,"+45.6172535","-118.6200325","2019","2018-2019",1757,203,12,10,265,2,1265,492,72,28,3155,38000,"OR",12
"142","4109530","41",NA,NA,"09530","Perrydale School District 21","00","KG","12","G5420",NA,"E",141077254,284489,"+45.0178623","-123.3017335","2019","2018-2019",90,0,1,0,4,0,85,5,94.44,5.56,316,41000,"OR",130
"143","4109600","41",NA,NA,"09600","Philomath School District 17J","00","KG","12","G5420",NA,"E",530289742,809598,"+44.5957682","-123.4770613","2019","2018-2019",984,9,9,0,93,0,873,111,88.72,11.28,1626,87000,"OR",54
"144","4109630","41",NA,NA,"09630","Phoenix-Talent School District 4","00","KG","12","G5420",NA,"E",358030079,53663,"+42.1632200","-122.8117840","2019","2018-2019",1284,9,8,10,560,4,693,591,53.97,46.03,2593,273000,"OR",105
"145","4109660","41",NA,NA,"09660","Pilot Rock School District 2","00","KG","12","G5420",NA,"E",1608959092,103091,"+45.4092940","-118.8535816","2019","2018-2019",356,8,0,0,28,0,320,36,89.89,10.11,337,43000,"OR",128
"147","4109720","41",NA,NA,"09720","Pine-Eagle School District 61","00","KG","12","G5420",NA,"E",1652080708,18794161,"+44.8900891","-117.1323641","2019","2018-2019",64,0,0,0,10,0,54,10,84.38,15.62,195,18000,"OR",92
"148","4109750","41",NA,NA,"09750","Pinehurst School District 94","00","KG","12","G5420",NA,"E",242989792,187663,"+42.0961079","-122.3534106","2019","2018-2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","4109870","41",NA,NA,"09870","Pleasant Hill School District 1","00","KG","12","G5420",NA,"E",277699931,1279099,"+43.9054748","-122.8664390","2019","2018-2019",1138,20,4,2,104,0,1008,130,88.58,11.42,1013,144000,"OR",142
"150","4109960","41",NA,NA,"09960","Plush School District 18","00","KG","12","G5420",NA,"E",3531836833,112664194,"+42.4238067","-119.7767205","2019","2018-2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","4110020","41",NA,NA,"10020","Port Orford-Langlois School District 2J","00","KG","12","G5420",NA,"E",914484169,419843651,"+42.8422294","-124.4027957","2019","2018-2019",106,0,2,0,14,0,90,16,84.91,15.09,227,8000,"OR",35
"152","4110040","41",NA,NA,"10040","Portland School District 1J","00","KG","12","G5420",NA,"E",350627993,27232139,"+45.5584071","-122.7274106","2019","2018-2019",22656,151,2019,2177,3982,208,14119,8537,62.32,37.68,48591,1642000,"OR",34
"153","4110080","41",NA,NA,"10080","Powers School District 31","00","KG","12","G5420",NA,"E",532935292,730784,"+42.8012883","-124.0124053","2019","2018-2019",56,10,0,0,2,0,44,12,78.57,21.43,123,3000,"OR",24
"154","4110110","41",NA,NA,"10110","Prairie City School District 4","00","KG","12","G5420",NA,"E",3315574378,1259805,"+44.4924642","-118.5390746","2019","2018-2019",57,1,0,0,2,0,54,3,94.74,5.26,133,26000,"OR",195
"155","4110200","41",NA,NA,"10200","Prospect School District 59","00","KG","12","G5420",NA,"E",646185659,10157907,"+42.8308193","-122.4246084","2019","2018-2019",54,0,0,0,0,1,53,1,98.15,1.85,228,5000,"OR",22
"156","4110350","41",NA,NA,"10350","Redmond School District 2J","00","KG","12","G5420",NA,"E",1421449743,1925468,"+44.2176464","-121.3732182","2019","2018-2019",4330,45,33,23,805,10,3414,916,78.85,21.15,7481,397000,"OR",53
